City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,tromso,69.6496,18.957,1.01,80,75,7.72,NO,1674555346
268,aosta,45.7667,7.4167,-1.2,85,100,0.0,IT,1674555435
269,mount gambier,-37.8333,140.7667,14.7,81,30,2.9,AU,1674555435
270,krasnoselkup,65.7,82.4667,-32.88,99,11,2.83,RU,1674555435
271,turka,49.1541,23.0297,2.58,59,30,2.15,UA,1674555436
272,fortuna,40.5982,-124.1573,3.19,100,100,3.6,US,1674555437
273,kishi,9.0833,3.85,32.84,16,5,1.32,NG,1674555437
274,krabi,8.0726,98.9105,32.27,67,75,2.57,TH,1674555437
275,grand gaube,-20.0064,57.6608,28.22,82,100,4.02,MU,1674555438
276,talnakh,69.4865,88.3972,-29.89,95,48,3.79,RU,1674555438
277,sibiti,-3.6819,13.3499,24.62,82,100,0.68,CG,1674555438
278,artigas,-30.4,-56.4667,20.9,72,0,4.47,UY,1674555254
279,bay roberts,47.5999,-53.2648,7.25,96,100,4.92,CA,1674555438
280,pundaguitan,6.3711,126.1689,25.8,87,100,6.96,PH,1674555439
281,champerico,14.3,-91.9167,23.85,75,14,1.84,GT,1674555439
282,tarko-sale,64.9225,77.785,-30.75,97,83,3.89,RU,1674555439
283,ormara,25.2088,64.6357,20.11,19,0,6.44,PK,1674555440
284,marzuq,14.4,46.4667,25.42,27,23,2.26,YE,1674555440
285,kulhudhuffushi,6.6221,73.07,25.87,73,100,2.12,MV,1674555440
286,natchitoches,31.7668,-93.1335,6.47,81,75,2.57,US,1674555441
287,mulchen,-37.7167,-72.2333,14.87,95,100,1.84,CL,1674555250
288,kyaukse,21.6,96.1333,32.0,29,20,2.57,MM,1674555389
289,evensk,61.95,159.2333,-13.28,87,100,9.22,RU,1674555442
290,gryfino,53.2524,14.4883,1.42,77,76,0.72,PL,1674555443
291,asyut,27.181,31.1837,21.88,37,0,4.95,EG,1674555443
292,yumen,40.2833,97.2,-11.44,48,4,9.33,CN,1674555443
293,katherine,-14.4667,132.2667,25.18,88,75,3.6,AU,1674555444
294,rancho palos verdes,33.7445,-118.387,11.97,46,0,0.45,US,1674555263
295,dharmanagar,24.3667,92.1667,28.3,24,100,1.87,IN,1674555378
296,bethel,41.3712,-73.414,2.2,74,75,2.57,US,1674555444
297,oranjemund,-28.55,16.4333,21.99,58,3,5.66,NA,1674555444
298,nome,64.5011,-165.4064,-17.96,60,0,6.69,US,1674555445
299,itacoatiara,-3.1431,-58.4442,21.93,98,100,1.28,BR,1674555258
300,tuyen quang,21.8233,105.2181,18.99,35,60,0.69,VN,1674555301
301,kholm,59.2667,32.85,-4.44,90,100,4.94,RU,1674555445
302,zyryanka,65.75,150.85,-30.8,95,100,0.8,RU,1674555446
303,cap malheureux,-19.9842,57.6142,23.81,83,100,4.21,MU,1674555446
304,banepa,27.6298,85.5214,19.18,37,20,6.69,NP,1674555446
305,horodkivka,49.9068,28.9847,0.14,66,10,3.38,UA,1674555447
306,onda,39.9667,-0.25,8.97,42,98,1.36,ES,1674555447
307,ketchikan,55.3422,-131.6461,6.99,87,100,2.57,US,1674555447
308,puerto del rosario,28.5004,-13.8627,17.86,63,40,8.23,ES,1674555448
309,gizo,-8.103,156.8419,26.78,83,100,4.07,SB,1674555448
310,kirakira,-10.4544,161.9205,26.11,86,99,2.35,SB,1674555448
311,roald,62.5833,6.1333,9.08,81,75,7.2,NO,1674555449
312,linda,39.1277,-121.5508,7.6,83,0,1.54,US,1674555449
313,abu zabad,12.35,29.25,30.88,21,14,8.61,SD,1674555432
314,taltal,-25.4,-70.4833,19.41,84,30,0.51,CL,1674555449
315,valdivia,-39.8142,-73.2459,10.05,97,63,0.58,CL,1674555450
